,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,tipo_planeta,x,y,cluster_kmeans,densidad_gcm3,habitable
0,11 Com b,12.2,4914.89848585,323.21,734.7283769658036,1.178,299.5778,0.238,4874.0,13.76,Gigante gaseoso,12.382412,2.1093612,1.0,14.91374314206558,False
1,11 UMi b,12.3,4684.8142,516.21997,819.9468700837081,1.53,997.29166,0.08,4213.0,29.79,Gigante gaseoso,12.940322,2.5073318,1.0,13.87166640173639,False
2,14 And b,13.100000000000001,1131.15130051,186.76,832.2926419483466,0.775,334.31396,0.0,4888.0,11.55,Gigante gaseoso,12.642077,1.8664646,0.0,2.772416092502527,False
3,14 Her b,12.5,2828.6728223,1766.41,134.75412381080298,2.8389999999999995,0.3456199999999967,0.36830000000000007,5338.0,0.93,Gigante gaseoso,10.327252,1.972485,1.0,7.980025472446976,False
4,16 Cyg B b,13.5,565.7374,798.5,209.24627696057212,1.66,2.1792200000000435,0.68,5750.0,1.13,Gigante gaseoso,9.97494,3.016445,0.0,1.2669666510186455,False
5,17 Sco b,12.900000000000002,1373.01871824,578.38,775.2079878110721,1.45,564.46422,0.06,4157.0,25.92,Gigante gaseoso,12.835179,2.3197794,0.0,3.52418684658206,False
6,18 Del b,12.5,2926.24614325,982.8499999999999,414.09508496734736,2.476,9.88839999999999,0.024,4980.0,8.8,Gigante gaseoso,12.331359,1.7225248,1.0,8.25529151964544,False
8,24 Boo b,13.9,280.64248338,30.329999999999984,1683.8065057610968,0.194,1253.88552,0.032,4816.0,12.19,Gigante gaseoso,12.729475,1.8005329,0.0,0.5757853528083469,False
9,24 Sex b,13.4,632.46,452.8,431.1094209665288,1.333,8.706399999999974,0.09,5098.0,4.9,Gigante gaseoso,13.045587,0.6365437,0.0,1.4483391407852693,False
10,24 Sex c,13.9,273.32,883.0,345.12063016753063,2.08,1.4438000000000102,0.29,5098.0,4.9,Gigante gaseoso,12.524694,0.9729985,0.0,0.5607620440576269,False
21,2MASS J19383260+4603591 b,13.4,603.877,406.0,612.5224570652098,0.92,481.57102,0.33000000000000007,29564.0,0.20300000000000007,Gigante gaseoso,9.213208,10.052487,0.0,1.3828838113398254,False
25,4 UMa b,12.6,2511.48007211,270.27,884.9013414707281,0.877,199.56,0.45300000000000007,4415.0,18.11,Gigante gaseoso,12.631273,2.198518,0.0,6.91782704717818,False
26,47 UMa b,13.2,804.08,1078.0,196.86675111506395,2.1,0.8583600000000615,0.032,5872.0,1.21334,Gigante gaseoso,8.652813,1.6134402,0.0,1.926322801012884,False
27,47 UMa c,14.2,171.62099999999998,2391.0,150.35946480080213,3.5999999999999996,0.11022000000002663,0.098,5872.0,1.21334,Gigante gaseoso,9.450546,1.0710195,0.0,0.3302607736280807,False
30,51 Peg b,14.3,146.2018,4.230784999999997,1199.506776545476,0.05269999999999997,482.3481,0.012999999999999998,5758.0,1.17561,Gigante gaseoso,7.970183,6.4269066,0.0,0.27548388947841235,False
31,55 Cnc B b,1.69,3.5,6.7993999999999915,361.677272865195,0.043999999999999984,2.9780000000000655,0.0,3286.0,0.274,Super-Tierra,0.39609116,-1.8150845,0.0,3.9953932297714703,False
32,55 Cnc B c,2.16,5.300000000000011,33.747000000000014,210.41460513649292,0.13,0.7008000000000152,0.0,3286.0,0.274,Sub-Neptuno,0.3304411,-1.9047987,0.0,2.8977853668140074,False
33,55 Cnc b,13.9,263.9785,14.65155200000001,700.0,0.118,65.97899999999993,0.0029,5198.0,0.98,Gigante gaseoso,7.1120844,4.4744725,0.0,0.5415963824354831,False
